name,link
Conifer46,https://www.foodpanda.com.mm/restaurant/k2fo/conifer46
Sandar May(South Okkalapa),https://www.foodpanda.com.mm/restaurant/t8xk/sandar-may-south-okkalapa
Royal K Restaurant,https://www.foodpanda.com.mm/restaurant/z0fl/royal-k-restaurant
38 Station Teppanyaki Restaurant ,https://www.foodpanda.com.mm/chain/ce7ou/38-station-teppanyaki-restaurant
ရတီထမင်းဆိုင်,https://www.foodpanda.com.mm/restaurant/p0ti/rttiithmng-chiung
ရန်ကင်းမီတာရုံးရှေ့စမူဆာသုပ်,https://www.foodpanda.com.mm/restaurant/l2tf/rn-kng-miittaarun-r-e-cmuuchaasup
Twin Sister Noodle,https://www.foodpanda.com.mm/restaurant/lt4g/twin-sister-noodle
Black Sea Seafood ( BBQ. Bar & Restaurant ),https://www.foodpanda.com.mm/restaurant/d6sf/black-sea-seafood-bbq-bar-and-restaurant
အောင်မြင့်မိုရ် ကဖေးနှင့်စားဖွယ်စုံ,https://www.foodpanda.com.mm/restaurant/y6w5/aeaang-m-ng-miur-kphe-n-ng-caa-ph-y-cun
ကိုးကဖေးဟောက်စ်,https://www.foodpanda.com.mm/restaurant/i07m/kiu-kphe-heaak-c
Four Burger Shop,https://www.foodpanda.com.mm/restaurant/myle/four-burger-shop
Princess Irrawaddy,https://www.foodpanda.com.mm/chain/cs4vz/princess-irrawaddy
Friends Fast Food (South Okkalapa),https://www.foodpanda.com.mm/restaurant/n8ii/friends-fast-food-south-okkalapa
Takeaway Eat Fresh,https://www.foodpanda.com.mm/restaurant/v2eu/takeaway-eat-fresh
ထိပ်တန်း ( ကြက်ဆီထမင်း ၊ ရေခဲမုန့် ),https://www.foodpanda.com.mm/restaurant/nfti/thip-ttn-k-k-chiithmng-rekhaimun
ဆုလာဘ်,https://www.foodpanda.com.mm/restaurant/tz7y/chulaabh
ဖြူဖွေးသန့် Laundry Service (South Oakkalapa) (pandago),https://www.foodpanda.com.mm/restaurant/bp8x/ph-uuph-e-sn-laundry-service-south-oakkalapa-pandago
Chili Rock အထောင်းဆိုင်,https://www.foodpanda.com.mm/restaurant/sgvx/chili-rock-atheaang-chiung
သစ္စာရိပ်သာရှမ်းခေါက်ဆွဲ,https://www.foodpanda.com.mm/restaurant/mffd/sccaarip-saar-m-khe-k-ch-ai
မာလာချိုက်,https://www.foodpanda.com.mm/restaurant/ej3y/maalaakh-iuk
ရွှေရုပ်လွှာ ထိုင်ဝမ် သံပုံး ကြက်ကင်ဘဲကင်,https://www.foodpanda.com.mm/restaurant/hxhm/r-erup-l-aa-thiung-wm-snpun-k-k-kng-bhaikng
Kachin House ( Herbal Drinks ),https://www.foodpanda.com.mm/restaurant/e5mh/kachin-house-herbal-drinks
Royal Thai Restaurant,https://www.foodpanda.com.mm/restaurant/t9yp/royal-thai-restaurant
Darcy's Bakery,https://www.foodpanda.com.mm/restaurant/z9fy/darcys-bakery
Sun Moon Star (Halal Food),https://www.foodpanda.com.mm/restaurant/jp1h/sun-moon-star-halal-food-jp1h
City One (စားဖွယ်စုံ),https://www.foodpanda.com.mm/restaurant/zgai/city-one-caa-ph-y-cun
Black Sea Seafood,https://www.foodpanda.com.mm/restaurant/hf3s/black-sea-seafood
Where's The Food (WTF),https://www.foodpanda.com.mm/restaurant/nahw/wheres-the-food-wtf
ဝဆန်းသီး,https://www.foodpanda.com.mm/restaurant/t6bd/wchn-sii
Mel Cook Cafe,https://www.foodpanda.com.mm/restaurant/mo5t/mel-cook-cafe
Kyaw Kyar,https://www.foodpanda.com.mm/restaurant/y0gt/kyaw-kyar
လျှာဂျွန်းပြန်,https://www.foodpanda.com.mm/restaurant/x7hk/l-aag-n-p-n
ရန်ကင်း ညနေခင်း မုန့်ဟင်းခါး,https://www.foodpanda.com.mm/restaurant/dw0v/rn-kng-nnynekhng-mun-hng-kh
Yummy Kitchen,https://www.foodpanda.com.mm/restaurant/i1yw/yummy-kitchen-1
New Chit Tee,https://www.foodpanda.com.mm/restaurant/p6nl/new-chit-tee
ပွဲတော်ဦးကြက်ဆီထမင်း,https://www.foodpanda.com.mm/restaurant/g6k3/p-aitteaa-uu-k-k-chiithmng
မိုးကုတ် လက်ရာ halal food,https://www.foodpanda.com.mm/restaurant/pbw1/miu-kutt-lk-raa-halal-food
တော်ဝင် (စားဖွယ်စုံ),https://www.foodpanda.com.mm/restaurant/ftfa/tteaa-wng-caa-ph-y-cun
မိဘရိပ် (Tea Shop),https://www.foodpanda.com.mm/restaurant/m3ad/mibhrip-tea-shop
Durian Bao,https://www.foodpanda.com.mm/restaurant/k2ux/durian-bao
Four Season Steamboat (Restaurant),https://www.foodpanda.com.mm/restaurant/o3ks/four-season-steamboat-restaurant
မောင့်လက်ရာ,https://www.foodpanda.com.mm/restaurant/y1mj/meaang-lk-raa
Krispy Kreme,https://www.foodpanda.com.mm/chain/ck0pe/krispy-kreme
