name,link
Friendsway Bar and Restaurant,https://www.foodpanda.com.mm/restaurant/w0lt/friendsway-bar-and-restaurant
Spicy မာလာကင်သုပ်,https://www.foodpanda.com.mm/restaurant/ww7f/spicy-maalaakng-sup
Sar Kyi - Kway Teow,https://www.foodpanda.com.mm/restaurant/xrm4/sar-kyi-kway-teow
ကံ့ကော်ရိပ် (စားဖွယ်စုံ),https://www.foodpanda.com.mm/restaurant/jact/kn-keaa-rip-caa-ph-y-cun
မေချို အသုပ်စုံ,https://www.foodpanda.com.mm/restaurant/bhzi/mekh-iu-asup-cun
Eat My Food,https://www.foodpanda.com.mm/restaurant/t3kz/eat-my-food
Ginki Yangon Beer Garden,https://www.foodpanda.com.mm/restaurant/t6ah/ginki-yangon-beer-garden
သင်းရနံ့(မုန့်ဟင်းခါး),https://www.foodpanda.com.mm/restaurant/s2lv/sng-rnn-mun-hng-kh
Pink Diamond Valley (pandago),https://www.foodpanda.com.mm/restaurant/snbq/pink-diamond-valley-pandago
Shwe Tha Har,https://www.foodpanda.com.mm/restaurant/m1lu/shwe-tha-har
ရွှေယိင်း,https://www.foodpanda.com.mm/chain/cm2jc/r-eying
Zabu Kyaw,https://www.foodpanda.com.mm/restaurant/keha/zabu-kyaw
So Pyay (Deep Fried Chicken Puff),https://www.foodpanda.com.mm/restaurant/q4vi/so-pyay-deep-fried-chicken-puff
Friends Way Bar,https://www.foodpanda.com.mm/restaurant/t1wp/friends-way-bar
Tip Top Foods (786),https://www.foodpanda.com.mm/restaurant/k9ah/tip-top-foods-786
Pyae Hlyan Restaurant,https://www.foodpanda.com.mm/restaurant/u2vl/pyae-hlyan-restaurant
Nilar Biryani,https://www.foodpanda.com.mm/chain/cl9ry/nilar-biryani
G Six (Bar & Restaurant),https://www.foodpanda.com.mm/restaurant/o1vn/g-six-bar-and-restaurant
Spicy Palace,https://www.foodpanda.com.mm/restaurant/qqnm/spicy-palace
Oscar Bubble Tea,https://www.foodpanda.com.mm/restaurant/s8xq/oscar-bubble-tea
Ying (pandago),https://www.foodpanda.com.mm/restaurant/a7jt/ying-pandago
မသီ ထမင်းဆိုင်,https://www.foodpanda.com.mm/restaurant/acqo/msii-thmng-chiung
စုဒိန်ချဥ်(ဘောက်ထော်စျေး),https://www.foodpanda.com.mm/restaurant/b7xf/cudin-kh-u-bheaak-theaa-c-e
Ben Zai,https://www.foodpanda.com.mm/restaurant/y2iw/ben-zai
Shwe Hsenwi Northern Shan Noodles,https://www.foodpanda.com.mm/restaurant/c9ip/shwe-hsenwi-northern-shan-noodles
Royal K,https://www.foodpanda.com.mm/restaurant/n9xp/royal-k
DT ယိုးဒယားအချဥ်ပေါင်း,https://www.foodpanda.com.mm/restaurant/zbuw/dt-yiu-dyaa-akh-u-pe-ng
ရိုစီ (ရှမ်းခေါက်ဆွဲ),https://www.foodpanda.com.mm/restaurant/qwyv/riucii-r-m-khe-k-ch-ai
Kyauk Kone ကျောက်ကုန်းကဖေး,https://www.foodpanda.com.mm/restaurant/j6ni/kyauk-kone-k-eaak-kun-kphe
အမေ့အိမ်(ရှေ့သို့လမ်း),https://www.foodpanda.com.mm/restaurant/jq22/ame-aim-r-e-siu-lm
Yangon Street Food Market,https://www.foodpanda.com.mm/restaurant/e4zb/yangon-street-food-market
Poppy Vietnamese Spring Rolls,https://www.foodpanda.com.mm/restaurant/t9wa/poppy-vietnamese-spring-rolls
Delicious,https://www.foodpanda.com.mm/restaurant/o953/delicious
Princess Irrawaddy(Yankin),https://www.foodpanda.com.mm/restaurant/t7bm/princess-irrawaddy-yankin
